# Combined stage-09 backlog for ingest (QT5-QT8). Created 2026-07-24.
NICK_KRAUSER_WOMANIZER | Womanizers Bible #1 - From Intermediate To Advanced Game [uE9vQhwrg8k]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #5 - How To Catch The Teenage Virgin [0vlcfAPxEUA]
TODD_V | 00. Todd V - Why Daygame Is BEST？ [kNQ3yfxCRYI]
TODD_V | 02.1 Todd V - How To Be Attractive To A Girl - Qualities Women Find Extremely Attractive In Men [-VZlSVAboAA]
TODD_V | 02.2 Todd V - How To Be Attractive To A Girl  - How To Display Your Attractive Qualities To Women [QaX0n1khG50]
TODD_V | 02.3 Todd V - How To Be Attractive To A Girl (At Home Exercises) [fiocubgdL3A]
TODD_V | 04.2a How To Make Her Chase You Instantly - What Will Make Her Want You (And How To Cultivate It) [hHAsCcXZPNE]
TODD_V | 04.2b How To Make Her Chase You Instantly - What Will Make Her Desire You (And How To Cultivate It) [E_QEHQtaxQA]
TODD_V_CONVERSATION_TOPICS | 7 Reasons Why Flash Game Is Killing You [xzuEmYkgDxE]
TODD_V_CONVERSATION_TOPICS | Conversation Topics That Lead To Sex [og1DZLKpJSY]
TODD_V_CONVERSATION_TOPICS | How To Find The Right Game Style -- Power Vs Control [fM182pKzrPA]
TODD_V_CONVERSATION_TOPICS | Immersion Debrief -- Integrity and Frame Control [7ImyDvT1VA0]
TODD_V_CONVERSATION_TOPICS | Steal My Lines - How To Show Intent [l9OkHE4XZ2Q]
TODD_V_CONVERSATION_TOPICS | The Outer Game of Inner Game [u_AhhQVhJco]
TODD_V_CONVERSATION_TOPICS | The P Word -- How to ＂Show Intent＂ the Right Way [A1Mwr1pDusQ]
TODD_V_CONVERSATION_TOPICS | The Silent Power of Narrative to Get Her Chasing [81e3bkP7Ezk]
TODD_V_CONVERSATION_TOPICS | Why Learning Game Is Hard -- Two Ways Your Experience ＂Tricks＂ You [8Z6HVIrgL5A]
TODD_V_CONVERSATION_TOPICS | Words That Get Me Laid [jU8c-XWpgsc]
TODD_V_OPENING | The Opening Series -- Part 3： Situational Teases & Framing [saKbzqbY1kg]
TODD_V_TEXTINGMISTAKES | Text Game -- From Number To Date Step By Step [7OZebLs6v7o]
TODD_V_THESYSTEM | Keeping My Promise...But [9JPy29WJpxI]
TODD_V_THESYSTEM | Why Women Have Sex： 3 Sex Triggers That Make Her Want You (+Field Reports) [_VeTjEZA9jQ]
TODD_V_TRUTH | Beware Of Following Gurus -- The Dangers Of The Halo Effect [DmW8SMF9xlE]
TODD_V_TRUTH | Do Game You Can Be Proud Of -- Good Vs Bad Social Conditioning [heYmMHTcN9g]
TODD_V_TRUTH | What is the whole truth？ [w4k7y5HP-Lk]
TODD_V_VERBAL_GAME | 3 Flirting Techniques that work every time! [jCAu8a9Xckk]
TODD_V_VERBAL_GAME | How To Never Run Out Of Things To Say - Verbal Game, Storytelling And Flirting [oxOih6GwSXI]
TODD_V_VERBAL_GAME | How to Be VERBALLY ENGAGING - Verbal Game 101 [H2CTy504FSA]
TODD_V_VERBAL_GAME | The 13 ABSOLUTE WORST Flirting Lines (And a Few Good Ones) [33qFUT4ur2I]
TODD_V_VERBAL_GAME | Todd's Super-Simple Flirting Method (Try This ASAP) [o_k55geMKkU]
TODD_V_WINNERGAME | Grow Up! -- Why Maturity Is Necessary For Success [lyG5qwwVC_o]
TODD_V_WINNERGAME | How To Be A Closer -- Todd's 3-Step Process [IMdFeTaGLRU]
TODD_V_WINNERGAME | I'm back... my gift to you [_TbKPs1HWLQ]
TODD_V_WINNERGAME | Motivation For Newbies - What The F＊#K! Is The Alternative [UEkZQhWCbM8]
austen_summers_client_results | Became More Fun, Outgoing, Gave Less of a F＊＊＊ - Immersion Results [wvDKU5P1s58]
austen_summers_client_results | First Daygame Pull - Immersion Results [87IQDbipw2o]
austen_summers_client_results | From No Results to Dating French Girls and Strippers - Mentorship Results [SjmoqWlFk2w]
austen_summers_client_results | Indian Student Closes Hot White Girl on Second Night - Immersion Results [-ikIGcSYqWo]
austen_summers_client_results | Lonely to Lothario - Lawrence Academy Mentorship Results [2Blck-axbvA]
austen_summers_client_results | Multiple Dates Scheduled in First Hour - Immersion Testimonial [mBYkxi7cDlE]
austen_summers_client_results | Pulled a Published Model and Got Brothers for Life - Immersion Testimonial [NMv1_K1yxkA]
austen_summers_client_results | Sergio Academy Mentorship Testimonial [HCebML9-vIQ]
austen_summers_client_results | ＂I Now Have the Skill to Meet Women＂ - Immersion Results [HC5U8GWQCyA]
coach_kyle_deep_videos | 19 First Date Do's and Don'ts [jwUXETA5MFY]
coach_kyle_deep_videos | 3 Behaviors That Kill Attraction With Women [X4oJTGr4qBI]
coach_kyle_deep_videos | 30 Ways To Flirt With Women (FULL GUIDE) [rHhq9UQtd3k]
coach_kyle_deep_videos | 6 Micro-Signs That She Likes You (How to Read a Girls Body Language) [ycQSd_A6YWM]
coach_kyle_deep_videos | How To Make Your First Date Fun And Easy [KxlvKDhXpcc]
coach_kyle_deep_videos | How To Meet Hot Women Daily (Even If You're Busy) [DKtfuRpDVDk]
coach_kyle_deep_videos | How this guy got his dream girlfriend in 8 weeks [GVmQLIYj9jg]
coach_kyle_deep_videos | How to get Dates (even as a beginner) [v9Tne1oPIHM]
coach_kyle_deep_videos | How to get more women with less effort & less time [bx7VVnhZwGs]
coach_kyle_deep_videos | Meet MORE Women & Make Friends with this STEP-BY-STEP PROCESS (FULL GUIDE) [EW3U6mrNCWc]
coach_kyle_deep_videos | NEVER tell WOMEN these 3 THINGS about YOU when dating! [X6-nhVSiq6c]
coach_kyle_deep_videos | STOP texting women, do this instead! [FbrlR0LwF_8]
coach_kyle_deep_videos | Signs She Likes You (TIER LIST) [o1zoqtbkHpo]
coach_kyle_deep_videos | Weird Technique Makes Only Hot Girls Chase You 😈 [XCvDf5YxtBg]
coach_kyle_deep_videos | What To Do When She Friendzones You After A Great Date？ [5ZeYXzlCv7E]
coach_kyle_deep_videos | this 1 mindset changed my dating life [okxCU-6z24o]
daily_evolution | 3 nightgame hacks you need or youll die [KyCegThpZDU]
daily_evolution | 4 SIMP Behaviors You MUST Stop! [GUKS17sSt1A]
daily_evolution | 4 Simple Steps To Master Game [1ZfZ3K-T190]
daily_evolution | 5 Step Plan For Getting 500 Women [Mq83y_oao2c]
daily_evolution | 5 TIPS For Sex On The First Date! [7MsGkW9WltM]
daily_evolution | 5 Tips To Eliminate Nervousness When Talking To Girls [AKpAECnkfYA]
daily_evolution | 5 controversial weightloss hacks that made me chad [yTKorUpOgfA]
daily_evolution | 6 Month Goat 🐐 Transformation Mentorship [fVxrcgNrWnE]
daily_evolution | 7 Lines Of Intent For Picking Up Girls [uP1P_eD7-eo]
daily_evolution | 7 Steps To Escaping A Rut [FKgbK1eYHQU]
daily_evolution | 99% Will Fail At Everything - How To Be The 1% [IAkbi_SXgAA]
daily_evolution | A CALL TO ACTION [7fEpey8SIx0]
daily_evolution | A MAN  With Options ｜ Inner Game Training Series 1⧸5 [GPLvPkiNcmU]
daily_evolution | ABUNDANCE： The Keys To Dating And Life [ehS2vbhebBY]
daily_evolution | ACTION REQUIRED [upLCEpPewrs]
daily_evolution | AFFIRM： I AM A KING #89 Evolution Daily Podcast [9W6NWNfUrL0]
daily_evolution | ALWAYS GO FOR THE CLOSE [-WWNFiRQ6YA]
daily_evolution | Adapt To Varying Energies And Treat Each Interaction Exclusively： Calibration [GOMUUyTCu-g]
daily_evolution | Alpha Chad Got Sucked Off [KPacMr1omNs]
daily_evolution | Always Assume Attraction [1x2mn3W6dwA]
daily_evolution | Always Go For The Close (How I Learned This) [cQJH8YLe8pI]
daily_evolution | An 8 Hour Tantric Coke Fueled Mess [ldIODomsIFk]
daily_evolution | An Introverts Guide To Speaking With Charisma [V58WkxrzUKE]
daily_evolution | An Unexpected Journey [czXQMd8nZho]
daily_evolution | Andrew Tate Taught Me Duty & Self Hatred [qR8etG16c4E]
daily_evolution | Are You An Awful Wingman？ [ciRt8tzxCp8]
daily_evolution | Are You Trash Or Treasure？ [we25di9YAJg]
daily_evolution | Are You Wasting Your Life？ #101 Evolution Daily Podcast [olt7mUbv7bU]
daily_evolution | Ask And It Is Given [JEbmd1578DM]
daily_evolution | Ask Her Out King #shorts #dating [Gub2b2wKI8U]
daily_evolution | Assume Attraction ALWAYS [K2cBWlZkgak]
daily_evolution | Attract Any Woman RIGHT NOW! (Even If You're Broke And Ugly) [RBpWmTu3OMo]
daily_evolution | Be More Confident With Women! [KrZZo_BmmdQ]
daily_evolution | Be More Masculine And Grounded With Women [g2OT6sOt7TQ]
daily_evolution | Be More Natural Around Women [rsBkYPzNGuY]
daily_evolution | Be Your Own Hype Man [PpUO2RHibqY]
daily_evolution | Become More Attractive Overnight (Easiest Hack) [d0QsSEMz1z4]
daily_evolution | Become an Entrepreneur! Don't Be A Slave! [inOC05_xyyY]
daily_evolution | Becoming An Attractive Man [KZ28X2eElHw]
daily_evolution | Becoming The Man Who Deserves Women [zjB0hCQu_Zk]
daily_evolution | Best Place To Go For A First Date [t67IHYpjEBY]
daily_evolution | Better Conversations With Girls [THs3oOXpUps]
daily_evolution | Better Conversations With Women In 90 Seconds [B5AikkHrzuk]
daily_evolution | Big Moves Or Die [L3sTkwVpKP8]
daily_evolution | Bootcamp Podcast In Miami #83 Evolution Daily Podcast [HzD4r19NF0Q]
daily_evolution | Booze & Coffee ｜ Facebook LIVE [MaQTfPhxyYY]
daily_evolution | Bounce Back FAST From Bad Nights Full Of Rejection [zQj8PGLNwiE]
daily_evolution | Break The Chains And Plow Forward! (Aaron Finally Loses It) [vLnb3CWWbwk]
daily_evolution | Break The Chains Of Social Anxiety ｜ Motivational Rant [q98fpWxrEOc]
daily_evolution | Build Nightgame Momentum Fast 🚨 [Xjny5TMyv64]
daily_evolution | Building Abundance + Social Momentum [Z-p5zWhvZE4]
daily_evolution | Buying TWO of You Guys My Favorite Book!!! [1clU3azqIKw]
daily_evolution | CHOOSING SIGNALS!？ 😤 [feeT8i3tVb4]
daily_evolution | Change Your Entire Life In One Year [5GIsdzSud20]
daily_evolution | Chatting With You Chads [gzCDaZRnbyc]
daily_evolution | Chicago FREE Seminar + Bootcamp NEXT WEEKEND! [Lw1VXqvOaeg]
daily_evolution | Choosing Signals Are Beta [RsI6TaUGP04]
daily_evolution | Closing When You Get Her Home [f--IwU9pZMI]
daily_evolution | Coaching A Student [Move With Meaning!] [MP-FfMtNVY8]
daily_evolution | Confidence With Women Grounding Meditation [vW2DP7DLh1Q]
daily_evolution | Covid Bootcamp Student Joins The Podcast #60 The Aaron Alexander Experience Podcast [MmNlLdRpbLY]
daily_evolution | Crucial Inner Game Training [hUxJwEkIIXs]
daily_evolution | Crush Your Goals!!! [jI6EhCqfnO4]
daily_evolution | DATE OR DIE!!! [kUOW0QueXm4]
daily_evolution | DAYGAME DEEP DIVE 5⧸5 [UUauwdJ6zfE]
daily_evolution | DEEP ADVICE FOR LIFE [LONG RANT] [PCKsooX66y8]
daily_evolution | DEEP INNER GAME ADVICE [jn7BbqZAtdw]
daily_evolution | DON'T BE WHAT THEY TOLD YOU TO BE #BESTLIFE [w-MKxQU0_9Q]
daily_evolution | Dan Bilzerian SCAM Exposed [DbTWE5sbObc]
daily_evolution | Dance Floor Game Simple 4 Step Formula [8X2xX8O-bjI]
daily_evolution | Date Hotter Women By Understanding THIS [T5h0rAtlStM]
daily_evolution | Dating Advice For Student's Tinder Girl [lX4jiyrSd7A]
daily_evolution | Dating Advice From Girls!!! [spxWhAlm9w8]
daily_evolution | Dating Coach Explains How He Met This Girl! [GgUfcJCE5lk]
daily_evolution | Dating Coach Explains How To Handle Rejection [qIa9UNo4qPM]
daily_evolution | Dating Coach Gives Advice Then Makes Out With A Chick [e5Q6hGwr5Us]
daily_evolution | Dating Coach Gives SHOCKING Tips For Picking Up Girls [AY15PwGdnes]
daily_evolution | Dating Coach Gives You Solid Advice [otKXguPbi9Y]
daily_evolution | Dating Fundamentals You MUST Master [m0gVjX4bCQU]
daily_evolution | Dating Motivation! You Can Do Better! [MYpvYjLo2Nw]
daily_evolution | Dating When Your City Sucks [b-9Bdsgfgkc]
daily_evolution | Daygame Decoded： Simplified Systems For Real Results [QyyrQx1tFho]
daily_evolution | Daygame Video Field Report ｜ CALLING OUT YOUR BS EXCUSES! [idTsjU1BH5s]
daily_evolution | Daygame or Nightgame If You Don't Drink Alcohol [fug9-oCze-8]
daily_evolution | Daygame ｜ How To Open [mAyOTwJd6Y0]
daily_evolution | Daygame： A Holistic Approach [wFvlFNcl5NA]
daily_evolution | Determination vs. Dependence ｜ Thank You [pE43-gj3ZSw]
daily_evolution | Did She Like Me？! [dTKkkU8bT7c]
