social_stoic | How to Approach and Vibe with Women (Infield) [kVNih9mOvsE]
TODD_V_TEXTINGMISTAKES | How To Get A Solid Number -- The First Step In Text Game [EogjdB3msWA]
social_stoic | How To Pick Up 9s and 10s (Infield Example) [H-_FULmTJXc]
playing_with_fire_infield | How To Pickup A Girl At The Mall (Daygame Infield Breakdown) [yTWnGdzgz7w]
playing_with_fire_infield | How To Pull A Girl Home From A Date (Live Infield) [h-wWMx5Ssac]
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #6 - Brunette in Park [NhaqeRwLPJY]
TODD_V_OPENING | The Opening Series -- Part 2： Observational Openers & Improvisational Humor [K8_TBjaiNUk]
playing_with_fire_infield | Picking Up A Cute Colombian Girl [X6VydswgnfY]
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #5 - Dappy Bird in Mall [4n7tesaFEdI]
coach_kyle_how_to_approach_a_girl | The exact way to ask a woman out on a date (LIVE DEMO) [-5We8Qvv2Cg]
playing_with_fire_infield | This Street Interview Escalated Quickly... [68kUvx1TUdY]
social_stoic | I Got Flirty Fast with a Hot Blonde (Uncut Infield) [9tcvr26JP10]
natural_lifestyles_meetingGirlsIRL | Single on Valentine’s Day？ How to meet hot women and get a date today! [TeZg-eAknDs]
social_stoic | How To ACTUALLY Flirt With Women + Real Life Examples [UmhMBv40HU8]
social_stoic | Teaching MMA Fighter How To Cold Approach Women (Student Infield) [_Am8ItTeNoQ]
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #4 - More Gutter Game in Warsaw [grq-TNERVuA]
playing_with_fire_infield | Picking Up A Raver Girl At Ultra (This Is How You Tease A Girl) [tX9j5cLK63I]
playing_with_fire_infield | What Happens When You Cockblock A CHAD… [zWyau0QVSpA]
