# Batch P001 - 90% infield / 10% talk
# Created: 2026-02-05T13:55:28Z
# Videos: 100
# Infield: 90, Talk: 10
#
# Format: source_name | video_folder_name
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame  - Part 3 - Ping Range [gy5kMYBII3E]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame  - Part 6 - Forcing IOIs [kL3eu6-8xI0]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame -  Part 2 - Belligerence vs Smoothness [cLFkcZMqRa0]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame -  Part 7 - Opening [rRcPvDj7x90]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame -  Part 8 - Command Presence [E8LdbTsJbTY]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame - Part 1 - Masculine Polarity [2RoRRRU1WZo]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame - Part 10 - Suck Them In [_SrN5T58uu4]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame - Part 11 - Grunts & Shoves [v31iSEwaGFI]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame - Part 4 - Mindset [BJ-oI4eZPNY]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame - Part 5 - Pre Open [ahoVmyOGls4]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame - Part 9 - Brain Fry [IZB-_mImb5o]
NICK_KRAUSER_OUTLAWDAYGAME | Outlaw Daygame [PLnbvO7QZZgaY8gxOSsSY3mclgGymuGqAI]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #1 - Gutter Game [LCMW0fFEKQk]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #2 - Pushing Game Tech [8xw8sEUI0Pg]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #3 - Placing her on r⧸K [5iNacoxOBVc]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #4 - Street Presence [KCdbUbCTDDA]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #5 - Careening Off Road [PuyWa3xwIeU]
NICK_KRAUSER_VIRTUARESI | Virtua Resi #6 - Happy Dog Face [Lhg-ycvVSro]
NICK_KRAUSER_VIRTUARESI | Virtua Resi [PLnbvO7QZZgaaqw_ddq8Ds2z_kxERyDh9l]
austen_summers_meets_girls | 7 Minute Pull - Analysis [3u0I751NGN0]
austen_summers_meets_girls | 7 Minute Pull [nFjdyAHcTgA]
austen_summers_meets_girls | A Basic Daygame Approach Anyone Can Do [H3_8iPikhDw]
austen_summers_meets_girls | Austen Summers Meets Girls [PLUgGv97CRhXM9qdxj2oJp8eyPBQ5SSD2s]
austen_summers_meets_girls | Casey Neistat Picking Up Girls [fbRpUOxqWcs]
austen_summers_meets_girls | Date with Canadian Girl - Exploring Toronto With Lauren [qxJbBcLOnbg]
austen_summers_meets_girls | How I Got Laid With A Shy College Girl [-gg0Ykxalkk]
austen_summers_meets_girls | How to Ask a Girl Out  (using her own advice) [qWqNDrjfUvc]
austen_summers_meets_girls | How to Date a Blonde Finnish Girl + Date Tips [jPHmLAZON_s]
austen_summers_meets_girls | How to Take Home a Latina MILF (+Daygame Infield) [bzUa2cB61hU]
austen_summers_meets_girls | How to Take Home a Swedish Blonde [D1t_K8hjJzc]
austen_summers_meets_girls | I Took Her to the Secret Beach 🤫 - Florida Date with American Girl [9I7JBV15FNM]
austen_summers_meets_girls | Picking Up Cosplay Girls At Comic-Con  2019 [XDZbqorwGNk]
austen_summers_meets_girls | Picking Up Cosplay Girls At Comic-Con 2019 - PART 2 [R6inrSd9qFk]
austen_summers_meets_girls | Picking Up Girls in Barcelona  ｜  Immersion Documentary [iOSpNACA9VI]
austen_summers_meets_girls | Picking Up Girls in a Wheelchair [n0smMRCqVmc]
austen_summers_meets_girls | Pickup Motivation - Watch This Before Picking Up Girls [wHQW1s5FzkY]
austen_summers_meets_girls | Rembrantplein Socializing [srq1OVqxX0E]
austen_summers_meets_girls | Software Developer Picks Up Girls [x2kk9HoXjnI]
austen_summers_meets_girls | Swedish Hockey Player Picks Up Girls [KURlBcRF6-M]
austen_summers_meets_girls | Take Action Today - Pick Up Girls Compilation 2019 [zi8EvOdRQiI]
austen_summers_meets_girls | Unleash the Pickup Within ｜ Picking Up Girls at Tony Robbins UPW [NBJ0JkyyqR0]
coach_kyle_how_to_approach_a_girl | 10 Conversation Starters Women Respond To (LIVE DEMO) [SPDOb_IE5YM]
coach_kyle_how_to_approach_a_girl | 10 Secrets to FLIRTING Without Pedestalizing Her (LIVE DEMO) [FVNOq-rQ2O0]
coach_kyle_how_to_approach_a_girl | 10 Tricks to FLIRT Without Pedestalizing Her (LIVE DEMO) [HqQdRyRgPtU]
