# Batch P002 - 90% infield / 10% talk
# Created: 2026-02-05T13:55:28Z
# Videos: 100
# Infield: 90, Talk: 10
#
# Format: source_name | video_folder_name
coach_kyle_how_to_approach_a_girl | How To Approach a Girl In The Club 😜 (night club flirting) #shorts [r0tPDbbAa7w]
coach_kyle_how_to_approach_a_girl | How To Attract Women At The Gym, At Work (without being creepy) [jrqSYaiw16M]
coach_kyle_how_to_approach_a_girl | How To Extend Your Interactions With Women (To Land More Dates) [8reXU39JMQo]
coach_kyle_how_to_approach_a_girl | How To Instant Date a Girl 🍹 [i7-AX9VToBU]
coach_kyle_how_to_approach_a_girl | How To Meet Girls At Social Events (Weddings, Parties etc) [zPtqKI87cpY]
coach_kyle_how_to_approach_a_girl | How To Overcome Approach Anxiety FAST And Forever (approaching women) [HflNIlhyNd0]
coach_kyle_how_to_approach_a_girl | How To Pick Up Girls At Your Gym (Proven Method) [H2e1ms-mJeA]
coach_kyle_how_to_approach_a_girl | How To Talk To Girls In An Elevator 👋 #shorts [R8J9ae3bkrw]
coach_kyle_how_to_approach_a_girl | How To Talk To Women Without Feeling Awkward [AnX8CX37goo]
coach_kyle_how_to_approach_a_girl | How to Approach A Girl At The Bar 😈 (Without Getting Rejected) #shorts [6TencNrSXcs]
coach_kyle_how_to_approach_a_girl | How to Approach a Girl [PLpp1UUwZH-Kqno9bKjk4FoDL7lnJyeHWZ]
coach_kyle_how_to_approach_a_girl | How to Approach a Group of Girls (INFIELD) [tyI2OZCVhT8]
coach_kyle_how_to_approach_a_girl | How to Cold APPROACH (Infield) [DGrky-wDxuQ]
coach_kyle_how_to_approach_a_girl | How to Compliment Women (Without Pedestalizing Them) [rEFK-4dNPxA]
coach_kyle_how_to_approach_a_girl | How to DESTROY Approach Anxiety (FOREVER) [HAxugFq6IRc]
coach_kyle_how_to_approach_a_girl | How to Fix Rejection in 5 minutes (INFIELD) [JKWRj2hwbT4]
coach_kyle_how_to_approach_a_girl | How to STOP having boring small talk with girls [wOY3e8eYEWc]
coach_kyle_how_to_approach_a_girl | How to approach a woman when she’s with her friends [4x9bvKaVWBc]
