# Batch P004 -
# Created: 2026-02-06T20:01:44Z
# Videos: 100
# Estimated infield: 100/100
#
# Format: source_name | video_folder_name
daily_evolution | Daygame Infield - Savagely Switching Sets [KuiM4A2P5fA]
daily_evolution | Daygame Infield Breakdown Part 1 - Two Set [+Infield] [0BHi7uLjuuc]
daily_evolution | Daygame Infield Breakdown Part 2 - Two Set [+Infield] [6W6wRfzDN9w]
daily_evolution | Daygame Infield Breakdown [ Grocery Game Opener Masterclass ] [WbMjgv4XcwE]
daily_evolution | Daygame Infield Breakdown [MF3GUEB03-o]
daily_evolution | Daygame Infield Breakdown ｜ Hot Blonde Grocery Store Pickup! [1FHmVCWuPhU]
daily_evolution | Daygame Infield Coaching + Student Daygame Infield [yjfSA5SpqCY]
daily_evolution | Daygame Infield Compilation 2023 [wrxnZi--o9g]
daily_evolution | Daygame Infield Epic Grocery Store Pickup Hot Blonde! [ZQoGfv-wH4k]
daily_evolution | Daygame Infield From Earth's #1 Dating Coach [-ymOG7QMrBA]
daily_evolution | Daygame Infield In Ancient Greece [sQz_-9BuNpw]
daily_evolution | Daygame Infield King 🤴 Brutal Rejection Compilation 😭 [Qxu7N3WGgTg]
daily_evolution | Daygame Infield Pick Up! FUNNIEST PICK UP INFIELD EVER! [tYKYjirhYJ8]
daily_evolution | Daygame Infield Pick Up! Kombucha And Chill？ [0DpfwrQ-Nh0]
daily_evolution | Daygame Infield Picking Up Girls With Green Hair Grocery Game [yubzvrH3kLU]
daily_evolution | Daygame Infield Picking Up Hot Hipster AGAIN! [j_4e2G4upwc]
daily_evolution | Daygame Infield Pickup 1 Hour Compilation 2019! [KG8X6cQ5wGw]
daily_evolution | Daygame Infield Pickup 1 Hour Compilation! How To Pick Up Girls [cbA0Qtwr2fI]
daily_evolution | Daygame Infield Pickup Grocery Game [JxZ18HMwHTE]
daily_evolution | Daygame Infield Pickup Target Footage! [bNaZftBdb0Y]
daily_evolution | Daygame Infield Pickup [Bikini Babes] [dobxfvKUInY]
daily_evolution | Daygame Infield Pickup ｜ Engaging Grocery Game [O8-MOBBdgok]
daily_evolution | Daygame Infield Pickup ｜ FULL DAYGAME INFIELD BREAKDOWN [OzHVBWFa3ls]
daily_evolution | Daygame Infield Pickup ｜ Falling In Love On The Sidewalk [sxvJrLiM7PM]
daily_evolution | Daygame Infield Pickup ｜ Grocery Game Pickup + Advice [7yzBa5EuIC4]
daily_evolution | Daygame Infield Pickup ｜ Hot Fitness Chick FULL BREAKDOWN [K-18DC0j1Nc]
daily_evolution | Daygame Infield Pickup ｜ How I Warm Up In Daygame [VS33FtHWOj0]
daily_evolution | Daygame Infield Pickup ｜ How To Game A Two Set FULL INFIELD BREAKDOWN [IAQkP6TB_ns]
daily_evolution | Daygame Infield Rampage!!! [X5jkjtGbcnU]
daily_evolution | Daygame Infield Rejection Compilation ｜  AARON EXPOSED [UmtqjbdVKlo]
daily_evolution | Daygame Infield Rejections Compilation ｜ MY LAST VIDEO!! [ugi8DxSTFqU]
daily_evolution | Daygame Infield ｜ 3 BRUTAL REJECTIONS IN A ROW! [QoSeMHSS4rg]
daily_evolution | Daygame Infield ｜ Boyfriend Objection [jsSOPFSYTcA]
daily_evolution | Daygame Infield ｜ Cutie At Pull Foods Pickup [Fr1N5htZrm0]
daily_evolution | Daygame Infield ｜ Fun + Rejection + Makeout + CRUCIAL ADVICE!!! [jgXEYtm0VaM]
daily_evolution | Daygame Infield ｜ Grocery Store Pickup! [NK5OD5BKs6c]
daily_evolution | Daygame Infield ｜ Hot North Korean Chick [2BiuNIx8_0k]
daily_evolution | Daygame Infield ｜ SERIOUS Hottie + How To Seize ALL Opportunities [0GHKYmdszEs]
daily_evolution | Daygame Instant Date - MUST WATCH [jViWP1TXgfk]
daily_evolution | Daygame Instant Date Infield Breakdown [IY6_JzbJyzY]
daily_evolution | Daygame Is This Simple!？ 🥳 (+Daygame Infield) [utuuVOXJunM]
daily_evolution | Daygame Mall Infield ｜ Two Girls Begging Me To Hangout! [atKUg8UiODk]
daily_evolution | Daygame Mistake That's KILLING Your Game + Daygame Infield [PxzGv8sERhY]
daily_evolution | Daygame Musings With Bootcamp Students [JUuE8IRRFBQ]
daily_evolution | Daygame Opener Hack [+Infield] [jHnGYmQ8NcA]
daily_evolution | Daygame Opener Masterclass Infield [HcPNNzE95xg]
daily_evolution | Daygame Pickup Goes Horribly Wrong [fR2SHFTVlII]
daily_evolution | Daygame Pickup Infield - ALWAYS BE CLOSING [KddKqbIhUwE]
daily_evolution | Daygame Pickup Infield - Picking Up A Girl At The Grocery Store [iJFskBBT4sU]
daily_evolution | Daygame Pickup Infield - Picking Up Babe In Two Set [fbHe7qp6NtA]
daily_evolution | Daygame Pickup Infield Breakdown Approaching A Group of Girls [Idywebk6B10]
daily_evolution | Daygame Pickup Infield Grocery Game Rampage [bDO3hxeZJUs]
daily_evolution | Daygame Pickup Infield Preview [kit2c6At6Jk]
daily_evolution | Daygame Pickup Infield ｜ Babe With Her Friend [ewlxDc9q26I]
daily_evolution | Daygame Pickup Infield ｜ Hot Asian FOB [ovm5NQ4ju30]
daily_evolution | Daygame Pickup Infield ｜ Hot Babe With Hot Pants! [84wLZmsWs_I]
daily_evolution | Daygame Pickup ｜ Infield Breakdown At The Store! [GmuSnbq9JJg]
daily_evolution | Daygame Pro Tip [OJOEAto8qzM]
daily_evolution | Daygame Rejections ：( [1XUov0IQe0k]
daily_evolution | Daygame Street Training + Daygame Infield [RjGLgYDGwak]
daily_evolution | Daygame Student Infield + Daygame Approach KEY LESSON! [mn2xfgtcQZM]
daily_evolution | Daygame Student Infield Coaching Session Part 1 [egEpZJfgwfc]
daily_evolution | Daygame Student Infield Coaching Session Part 2 [Hf6c3iT6N_4]
daily_evolution | Daygame Student Instant Date + PULL INFIELD [rhmZsP0KKPY]
daily_evolution | Daygame Two Girls Infield Breakdown [L98IhEsW_Rg]
daily_evolution | Daygame Video Field Report ｜ CALLING OUT YOUR BS EXCUSES! [idTsjU1BH5s]
daily_evolution | Daygame or Nightgame If You Don't Drink Alcohol [fug9-oCze-8]
daily_evolution | Daygame ｜ How To Open [mAyOTwJd6Y0]
daily_evolution | Daygame： A Holistic Approach [wFvlFNcl5NA]
daily_evolution | Daygame： Why You Suck + Daygame Infield [tvxpP0o8xG0]
daily_evolution | Direct or Indirect Daygame Part 1 [iPd08XsYSxY]
daily_evolution | Do You HATE Approaching？ Here's How To Fix It (+Daygame Infield) [SgMcVhC4Oi8]
daily_evolution | Do You Think I'm Ugly？ [Daygame Infield] [Udfxdrjunl8]
daily_evolution | EPIC Pickup and Dating Advice! #LIVEAT9 [xrjhM7BRwSs]
daily_evolution | End Approach Anxiety Once And For All [qsH5wLD_bo4]
daily_evolution | Face MAJOR Anxiety To Dwarf MINOR Anxiety ｜ Using Standup Comedy To Pickup Girls [ZptLXP-bAys]
daily_evolution | Fixing The Mistakes That KILL Your Daygame [0B2hALxnzKk]
daily_evolution | From Never Approaching To 3 Instant Dates... [5aSFYX5lFiQ]
daily_evolution | GET LAID OR DIE + Daygame Infield [hXDn8paN-W0]
daily_evolution | Get Any Girls Number With These 3 Steps (+Daygame Infield) [nYS4TfHVFy4]
daily_evolution | Get Her Number If The Approach Was Bad？ [s4EW52CxzTc]
daily_evolution | Grocery Store Pickup Infield [0ydv4szHHIg]
daily_evolution | High Energy Vs. Low Energy Nightgame Infield [_bbhU4VQnDo]
daily_evolution | Hot College Girl Instant Date [Daygame Infield] [8HCMKSc7bJs]
daily_evolution | Hot Girl Wants To Be Approached [A_QoMyC3OcI]
daily_evolution | How Cold Approach Will Alter Your Brain Chemistry [qLeA-S8GVH4]
daily_evolution | How Do I Warm Up In Daygame？ [5CM5JKYADeg]
daily_evolution | How Justin Bieber Picks Up Girls! [-niMKo_fHfg]
daily_evolution | How To Approach Girls Without Hesitation [FTpm5TlJ-Tg]
daily_evolution | How To Approach Groups Of Women [LIVE DEMO] [qx0SXyViHGY]
daily_evolution | How To Approach In A High Pressure Situation [9QHX5JgcpoY]
daily_evolution | How To Approach Seated Girls (+Infield) [OzyhqjdSLPE]
daily_evolution | How To Approach With A Wing [WZ1S84NSLpQ]
daily_evolution | How To Approach Women During The Day Vs. How To Approach Women At Night [J2hDGpxEEY0]
daily_evolution | How To Approach Women Naturally [myjn8L1v31E]
daily_evolution | How To Bounce Back From Hardships + INFIELD CLIPS ｜ Inner Game Training Series 2⧸5 [fzsQnguANcI]
daily_evolution | How To Cure Approach Anxiety [glXntc_gibk]
daily_evolution | How To Daygame Like A Pro [WDVDGVE0yrY]
daily_evolution | How To Get A Girlfriend Using Confidence Alone [ Daygame Infield ] [DvA2JsofCAM]
daily_evolution | How To Get In Social Flow And Approach Women [5tECPm8sn7U]
