# Batch P005 -
# Created: 2026-02-06T20:01:54Z
# Videos: 100
# Estimated infield: 100/100
#
# Format: source_name | video_folder_name
daily_evolution | How To Get In State Fast For Pickup! 3 Steps! [2RKCNz3_KGo]
daily_evolution | How To Get Laid On Vacation w⧸ Infield Makeout [EopUfKvkKnw]
daily_evolution | How To Get Sexual With Girls INSTANTLY w⧸ INFIELD ｜ The Big Bang of Sexuality [BiExHv_pmXg]
daily_evolution | How To Get Through The Hardest Part of Pickup [KYKKts8DrjM]
daily_evolution | How To Go On Instant Dates With Girls You JUST Met [_rTBpB5taUk]
daily_evolution | How To INSTANTLY Improve Your Cold Approaches [MVvPe422HpE]
daily_evolution | How To Make Pickup 10x EASIER And More Enjoyable [WmPFOpnNkfw]
daily_evolution | How To Meet Girls At Their Job [4BnR_RKI1jU]
daily_evolution | How To Pick Up A Girl At Work INFIELD + DAYGAME [UN6sq9QQTfU]
daily_evolution | How To Pick Up Chicks [uzyncWWR12c]
daily_evolution | How To Pick Up Girls At The Gym ｜ PLANTING SEEDS [268-f2IEuJQ]
daily_evolution | How To Pick Up Girls If You're Ugly [i9XOcbYO6oM]
daily_evolution | How To Pick Up Hot Girls At The Bar ｜ The KEY Realization Missing From Your Game [3nQsBa6lWlw]
daily_evolution | How To Pickup Girls At The Grocery Store - Pickup Infield Breakdown [xMV7ix1r-ak]
daily_evolution | How To Pickup Girls If You're Broke And Ugly [KqvUdlGYg8U]
daily_evolution | How To Pickup Girls When Your Game Sucks + Daygame Infield [_bRqAjMlCKs]
daily_evolution | How To Pickup Girls Without Being Creepy [Xvt_BXZZGxs]
daily_evolution | How To Pull From Dates + Epic Nightgame Infield [0TsvZLU7kTA]
daily_evolution | How To Pull Nightgame or Daygame [6ZCknel8Jkg]
daily_evolution | How To State Intent [ Daygame Infield ] [NFpXcUMFnfc]
daily_evolution | How To Suck At Daygame Forever [+FULL DAYGAME INFIELD] [EtgHf5Pzj7I]
daily_evolution | How To Talk Forever + Broken Women + Approaching Groups [FfvNkMwjvNs]
daily_evolution | How To Talk To Girls During The Day ｜ DayGame Training For Picking Up Girls [5dz2CJsKGBM]
daily_evolution | I Want To Turn You Into A Daygame GOD [sKe4aMqFCwQ]
daily_evolution | INFIELD + DAYGAME Stealing Cutie From Soldier Boyfriend [SnzpDLBF0y0]
daily_evolution | INFIELD + Daygame Cutie With Headphones Tells Me She Has A Boyfriend [fFq5RzV_46o]
daily_evolution | INFIELD + Daygame Instant Date With Hot Hipster [7begssQnizw]
daily_evolution | INFIELD + Daygame Picking Up French Girl In The Mall [_me7IFHmDr4]
daily_evolution | INFIELD + Daygame Picking Up Hot Fitness Trainer [zQpCM5vOgY4]
daily_evolution | INFIELD + Daygame Picking Up Miami Babe & Her Mom [a3wK21c3QwQ]
daily_evolution | INFIELD + Daygame Pickup WINDOW GAME! [_Hv9K0sjjws]
daily_evolution | INFIELD + Hot Asian In Grocery Store! [aE6lcJlTzpk]
daily_evolution | INFIELD + Picking Up HOT Black Grocery Store Employee [1sGggEyTJTE]
daily_evolution | INFIELD Daygame Pick Up ｜ APPROACH ANXIETY AT TARGET! [yxYIyUbpcvM]
daily_evolution | INFIELD GOD RUNS DAYGAME PICKUP IN THE DARK [quLKrh-Abl0]
daily_evolution | INFIELD PICKUP DAYGAME REJECTIONS AT THE STORE! [6w0bzYaHsq0]
daily_evolution | INFIELD of Daygame Student's First Approach EVER! [2cALY6QVfJo]
daily_evolution | Infield + Daygame Aaron Makes A Friend [kuFNfPXgQGI]
daily_evolution | Infield Breakdown - Daygame Pickup Tips + Techniques [KKPnYzMiT7k]
daily_evolution | Infield Breakdown ｜ Crazy 3-Way Makeout! [KGenHy9ieCw]
daily_evolution | Infield Breakdown ｜ Daygame Tactics [g_MgNnM75x0]
daily_evolution | Infield Daygame Miami Beach + Aggressiveness + Pickup [eCVTnPVg0ls]
daily_evolution | Infield Daygame Pickup ｜ Grocery Game Single Mom [zwE1t_qKw2A]
daily_evolution | Infield Pick Up ｜ RAW UNEDITED [YMuLZZad0u8]
daily_evolution | Infield Pickup Nightgame ｜ PULL EVERY GIRL EVER [4QKb6daMks8]
daily_evolution | Infield Pickup ｜ Daygame Breakdown [cMmtGVn9eNM]
daily_evolution | Instant Date Daygame Infield [lAuvScVel88]
daily_evolution | Instant Date Infield Pickup + Advice For Pulling [zYTLqCV3Ew0]
daily_evolution | Instant Date With A Perfect 10 [ Daygame Infield ] [w47J54Tz_NY]
daily_evolution | Instant Date With A Perfect 10 [djodejBlOgo]
daily_evolution | Instant Date With Hot Blonde Model ｜ Daygame Infield Pickup [KqsVC-qH_WU]
daily_evolution | Instantly Bio-Hack Your Fear Of Approaching Women [ZIhF4i3x900]
daily_evolution | Is Making Out Ruining Your Game？ [+INFIELD MAKEOUT] [mD1A2Jgargo]
daily_evolution | Just Approach Chicks!!! Cmon!!! (+Infield) [Iv4KxYECLr4]
daily_evolution | Keep Calm And Approach Women [jJoQ2V3AXPc]
daily_evolution | LIVE DAYGAME INFIELD - INSTANT DATE [ST13bWzdKKY]
daily_evolution | LIVE Daygame Infield ｜ NYC VLOGGIN' [JScNZ9y_E9c]
daily_evolution | Legendary Daygame Pickup ｜ Infield Breakdown [ks-om11lHuY]
daily_evolution | Lit Infield Compilation [J_pTQnu2RwE]
daily_evolution | London Daygame Infield Preview!？!？ [psOSQHkeRqs]
daily_evolution | MGTOW IS WRONG - Pickup Works & MGTOW Is Full Of Sh＊t [fjPRwMbwjAE]
daily_evolution | MUST WATCH： Deep Daygame Training + INFIELD CLIPS [MWsVwoKOzP8]
daily_evolution | Make Your Approaches Better (You’re Doing This Wrong) [bTbws8xo9Mk]
daily_evolution | Man To Woman Frame Made Easy Daygame [SnLV7nwZhWI]
daily_evolution | Massive Inner Game Pickup Value NUKE [Dp824y-g4dU]
daily_evolution | My Favorite Nightgame Pull 🚨 [wx4VGYeMKR4]
daily_evolution | My HUGE Daygame Hack For Introverts [Fgh4WCuBdLI]
daily_evolution | My Number One Approach Anxiety Hack! [WjZOIty2rkA]
daily_evolution | NEW Daygame Infield Breakdown - Hot Blondie [grRDn0C7JVw]
daily_evolution | NIGHTGAME INFIELD ｜ GET OUT OF YOUR HEAD [-AFtaDcMxZ8]
daily_evolution | NIGHTGAME PULLING MADE EASY [66_y5DSUNjs]
daily_evolution | Natural Daygame Pickup Infield With Shy Blonde [uJxM1CeKaBc]
daily_evolution | Night Game Infield Pickup ｜ Opening Two Sets FULL BREAKDOWN [iIdwb84qwSI]
daily_evolution | Night Game Infield ｜ Adapt Your Character! [vpCh1gX2rg4]
