# Batch P012 -
# Created: 2026-02-06T20:12:43Z
# Videos: 91
# Estimated infield: 0/91
#
# Format: source_name | video_folder_name
daily_evolution | Opportunities Are RARE 🚨 [OppLpyXntJ0]
daily_evolution | Overcome Rejection Like An Alpha [ZxEWZ5fR6E0]
daily_evolution | Overcome Your Insecurities ｜ Gym Hottie VFR [vFE4gi2mm1w]
daily_evolution | Overcoming Panic Attacks + Halo Checkpoints [j-8FpZyi6DA]
daily_evolution | Overcoming Your Fear Of Women [zZ1mUWOjl8U]
daily_evolution | P.I.M.P. Verbal Game Masterclass [Uljh69e380c]
daily_evolution | PLEASE DON'T WASTE YOUR LIFE [Q1aQJOkGHe4]
daily_evolution | PROVE THEM WRONG!!!! [iOkthyoNQgY]
daily_evolution | PUA Advice From Spiritual Healer #101 Evolution Daily Podcast [VVPxfbzWSQA]
daily_evolution | Panama City Beach Spring Break 2016 [cPqb7C_rJ_Y]
daily_evolution | Pay For The First Date!？ [IMgHCSa73eQ]
daily_evolution | Picking Up A 100 Year Old Woman 🤯 [Ten6Oby-9fw]
daily_evolution | Picking Up A Girl At The Grocery Store [7ex2XI_HAmY]
daily_evolution | Picking Up A Girl At The Store [aHpcAl6cEzw]
daily_evolution | Picking Up A Girl During The Day？ [tzSyGTKEwlc]
daily_evolution | Picking Up A Hottie At Target [bZNjFA_CKhc]
daily_evolution | Picking Up Beyoncé!!!？ [ciiyo70s174]
daily_evolution | Picking Up Cute Shy Girl At The Grocery Store [6o4eYfvKjOY]
daily_evolution | Picking Up Girl At Victorias Secret [6-errnEvBPc]
daily_evolution | Picking Up Girls - The Ultimate Formula! [Jo7eIH0GNRc]
daily_evolution | Picking Up Girls EASILY With This SIMPLE Mind Hack [+LIVE DEMO] [99x5f7gNQ00]
daily_evolution | Picking Up Girls In Miami [QikCMUdqE6M]
daily_evolution | Picking Up Girls Shopping For Panties [diMDzMLRlVE]
daily_evolution | Picking Up Girls With Psychic Powers #datingadvice101 #datingcoach #dating [WGEt8QKqcQg]
daily_evolution | Picking Up HOT Bikini Babe With Her Friend [ngg5oQRr6N4]
daily_evolution | Picking Up Hot Chinese Girl [BsXIGkPrvqs]
daily_evolution | Picking Up Hot College Girl At The Grocery Store [Pcmj0k3XtU8]
daily_evolution | Picking Up Hot College Girl [cv5I2-eOI1A]
daily_evolution | Picking Up Hot Swedish Girls [R3x1zuKnZwU]
daily_evolution | Picking Up LONDON Redhead Angel [3-d1K8U02JE]
daily_evolution | Picking Up TWO Hot College Girls [ZrEfOj0eUwA]
daily_evolution | Picking Up 🔥🔥🔥 California Girl [8rSfTVlp_3k]
daily_evolution | Playing With Fire FULL Interview With Alex V [M7GNkauTq7Q]
daily_evolution | Podcast Trailer [WzBKolGZrQA]
daily_evolution | Porn Addiction, Facing Fear and Self-Love ft. Hadia #49 of The Aaron Alexander Experience Podcast [3AxVPy8k_x0]
daily_evolution | Porn Addiction： A Horror Story [TXgDLFAaIUI]
daily_evolution | Protect Your Reputation While Picking Up Girls!! [J0O1gEjXXRY]
daily_evolution | Put Your Balls On The Chopping Block With Women [k-aqIj-tdQw]
daily_evolution | Put Yourself Around Hot Women [wJRPXXoJVtQ]
daily_evolution | RETURNING FROM THE WOODS!!!! #92 Evolution Daily Podcast [4l22pCXEQCE]
daily_evolution | Ran Into A Girl I Used To OBSESS OVER [fepA_EVYEQ8]
daily_evolution | Rejections Equal Success [QKC0Sw1mBkk]
daily_evolution | Return of the King [qjjU6nYxgvU]
daily_evolution | Reviving a DEAD SET! Text Game Examples! [EL34lp4lni8]
daily_evolution | Rise Of The Incel [osQzWoclsKs]
daily_evolution | Rizzcon 2025 Announcement [G78esHPKLbw]
daily_evolution | Rizzcon Will Change EVERYTHING [h9hwKgcAV_0]
daily_evolution | Rizzing A Hot Blonde At The Grocery Store [fp2KhjaR7aQ]
daily_evolution | Rizzing The Hottest Girl You've Ever Seen 🤯 [7Qsz-VymDDk]
daily_evolution | Rizzing Two Hot Women In Miami [WNrUqfR4OeY]
daily_evolution | Rizzing Up A Hot Latina 🥵 [bU_g3zWCdLk]
daily_evolution | Roasting Women Manifesto (How & Why) [MlKs9pIc2S0]
daily_evolution | SECRET Formula For Getting MORE Women [-Neb0TyfOuw]
daily_evolution | SKYROCKET Your CONFIDENCE With This 5 Minute Routine! [1yI-inE-czA]
daily_evolution | SOCIAL ANXIETY ｜ 3 Strategies To Eliminate Social Anxiety In The Field [o4o8U6TSRxM]
daily_evolution | SOLO GAME MANIFESTO + VEGAS SUCKS #94 Evolution Daily Podcast [VRc6dqG5Km8]
daily_evolution | SOUTH BEACH PARTY [v6Wdc3BxL6U]
daily_evolution | STAY WOKE [H0_WZZOCAko]
daily_evolution | STOP COMMUNICATING LIKE A SCARED LITTLE BOY [ebticeqn_HY]
daily_evolution | STRANDED IN THE RV #SENDHELP [v7jRheVTKWM]
daily_evolution | Samurai Level Advice For Picking Up More Girls [BmYuFbzvijE]
daily_evolution | Seasons Of Life ｜ Here's Your Hammer [ulz91ltEb_Q]
