# Batch P014 -
# Created: 2026-02-06T20:12:43Z
# Videos: 91
# Estimated infield: 8/91
#
# Format: source_name | video_folder_name
daily_evolution | When Her Boyfriend Comes Up [dzqgXqTvXmQ]
daily_evolution | When NOTHING Is Working [vUwogYIHwVo]
daily_evolution | When She Says ＂what are you looking for？＂ Online Game [VAbmq2JcPDM]
daily_evolution | When She Won't Have Sex With You [cny5TSqZsgA]
daily_evolution | When To Bring A Girl Home [6jCxpW2SRBc]
daily_evolution | Where MOST Men Go Wrong With Women [Yn8qaxpgpCE]
daily_evolution | Who Is The Warrior King？ Is It You？ [sLR9cehW8tg]
daily_evolution | Why Are Some Men NATURAL With Women？ [BMo1B2XUJcQ]
daily_evolution | Why Girls Aren't Talking To You [-SFvOQKKsk0]
daily_evolution | Why Girls Flake You And How To STOP It [XWiJoZ61IvM]
daily_evolution | Why Nice Guys Finish Last And Girls Date Douchebags [tR_oi8jLqTc]
daily_evolution | Why She Won't Come Home With You [py_j0z6hvoQ]
daily_evolution | Why She's Flaking You [qvw12Ct_ZBg]
daily_evolution | Why The Difficulty Of Game Is Better Than You Think [GTK582TlNpM]
daily_evolution | Why Warming Up Will Kill Your Game [OU5z9IJYePo]
daily_evolution | Why Women Won't Sleep With You [5e9apno1hPY]
daily_evolution | Why You Don't Feel Entitled To Dating Hot Chicks [1l4B6MEzFeg]
daily_evolution | Why You Fail With Women [WbgeiIF8U5o]
daily_evolution | Why You Get Flaked (A Tough Pill To Swallow) [YCCmyXkUc64]
daily_evolution | Why You Haven't Gotten Girls [WrIJt1wkydk]
daily_evolution | Why You MUST Be Cold To Women [FYyOFDzRErc]
daily_evolution | Why You Struggle To Talk To Women [b7K_dB-aEsw]
daily_evolution | Why You Suck At Texting (And How To Fix It) [9u9yd86lNdk]
daily_evolution | Why You'll Probably Fail At Everything (And How Not To) [0_xGjBbG_Iw]
daily_evolution | Why You're Scared To Talk To Girls [5aTtljzYkeU]
daily_evolution | Why Your Life Sucks (And How To Fix It) [tff5_Me75aQ]
daily_evolution | Will Edward ｜ Dance Floor Game [RU0BkumcEQQ]
daily_evolution | Will NoFap Get You Laid？ (A Strategy) [ylCep-EDw18]
daily_evolution | Women Desire Strength Above All Else [KGVKyhumXOE]
daily_evolution | Women Hate THIS Beta Male Behavior [FzqD4t0jxY4]
daily_evolution | Women Stop Rejecting You When You Honor Your Soul [z5gIE-IzjqE]
daily_evolution | Women WANT To Meet A Good Guy [3FpRAK7fBnI]
daily_evolution | Women Want Men To Lead Them [KNYncVheg-g]
daily_evolution | Women Want This [zCZY-xy8YCc]
