# Sub-batch P015.4 (from P015)
# Created: 2026-02-06T20:12:59Z
# Videos: 10
#
# Format: source_name | video_folder_name
TODD_V_WINNERGAME | Why Women Have Sex： 3 Sex Triggers That Make Her Want You (+Field Reports) [_VeTjEZA9jQ]
TODD_V_WINNERGAME | Winner Game -- The Tom Brady Mindset [N4Q-vf7lMw0]
natural_lifestyles_lifestyleacademy | Top BDSM Master Reveals His Secrets, (which put you in the top 1% of lovers) [9Grlh3P8q3w]
TODD_V_OPENING | The Opening Series -- Part 1： Direct Approach & Tonality [-6V-G1CE1xc]
TODD_V_CONVERSATION_TOPICS | Conversation Topics That Lead To Sex [og1DZLKpJSY]
TODD_V_CONVERSATION_TOPICS | Steal My Lines - How To Show Intent [l9OkHE4XZ2Q]
TODD_V_CONVERSATION_TOPICS | Why ＂Showing Intent＂ Is Ruining Your Game [UQGBDNdlU3I]
TODD_V_OPENING | The Opening Series -- Part 2： Observational Openers & Improvisational Humor [K8_TBjaiNUk]
TODD_V_OPENING | The Opening Series -- Part 3： Situational Teases & Framing [saKbzqbY1kg]
TODD_V_TEXTINGMISTAKES | 3 LOW-VALUE Texting Mistakes You're Probably Making [9dc_0jBJU7o]
