# Batch P015 -
# Created: 2026-02-06T20:12:44Z
# Videos: 82
# Estimated infield: 2/79
#
# Format: source_name | video_folder_name
TODD_V_WINNERGAME | Why Cold Approach Is A Cheat Code [kEAQ8dB4_R4]
TODD_V | 02.1 Todd V - How To Be Attractive To A Girl - Qualities Women Find Extremely Attractive In Men [-VZlSVAboAA]
TODD_V | 02.2 Todd V - How To Be Attractive To A Girl  - How To Display Your Attractive Qualities To Women [QaX0n1khG50]
TODD_V | 02.3 Todd V - How To Be Attractive To A Girl (At Home Exercises) [fiocubgdL3A]
TODD_V | 04.1 Todd V - How To Make Her Chase You Instantly - How To Trigger MASSIVE Attraction And Desire [AF0iOsmomlY]
TODD_V | 04.2a How To Make Her Chase You Instantly - What Will Make Her Want You (And How To Cultivate It) [hHAsCcXZPNE]
TODD_V_THESYSTEM | 7 Reasons Why Flash Game Is Killing You [xzuEmYkgDxE]
TODD_V_THESYSTEM | An Announcement... [DTYqK3gu5S0]
TODD_V_THESYSTEM | From Boring Conversation to Romantic Connection [yPwm1vMCUxs]
TODD_V_THESYSTEM | Keeping My Promise...But [9JPy29WJpxI]
TODD_V_THESYSTEM | The Nightgame Gameplan： How I Win EVERY Night [GBWtLFysmns]
TODD_V_THESYSTEM | The Outer Game of Inner Game [u_AhhQVhJco]
TODD_V_THESYSTEM | The P Word -- How to ＂Show Intent＂ the Right Way [A1Mwr1pDusQ]
TODD_V_THESYSTEM | The Silent Power of Narrative to Get Her Chasing [81e3bkP7Ezk]
TODD_V_THESYSTEM | What is the System？ [nMHYVtW1V_8]
TODD_V_THESYSTEM | Why Women Have Sex： 3 Sex Triggers That Make Her Want You (+Field Reports) [_VeTjEZA9jQ]
TODD_V_THESYSTEM | Words That Get Me Laid [jU8c-XWpgsc]
TODD_V_WINNERGAME | A message for hard-case newbies [WK9TFNJI2SI]
TODD_V_WINNERGAME | Grow Up! -- Why Maturity Is Necessary For Success [lyG5qwwVC_o]
TODD_V_WINNERGAME | How Nice Guys Can Finish FIRST [WEe2aq3qKmc]
TODD_V_WINNERGAME | How To Be A Closer -- Todd's 3-Step Process [IMdFeTaGLRU]
TODD_V_WINNERGAME | I'm back... my gift to you [_TbKPs1HWLQ]
TODD_V_WINNERGAME | Motivation For Newbies - What The F＊#K! Is The Alternative [UEkZQhWCbM8]
TODD_V_WINNERGAME | The Nightgame Gameplan： How I Win EVERY Night [GBWtLFysmns]
TODD_V_WINNERGAME | The Outer Game of Inner Game [u_AhhQVhJco]
TODD_V_WINNERGAME | The Unfiltered Truth About Dating Models [mSDp-30BUTM]
TODD_V_WINNERGAME | WINNER GAME - Chemistry and Connecting Emotionally [NBpaoB8tshk]
TODD_V_WINNERGAME | What Women REALLY Want - The Truth About Female Psychology [kIn56zOTMKM]
TODD_V_WINNERGAME | Why I Hate Self Help [7Rsvb18GepU]
TODD_V_WINNERGAME | Why Learning Game Is Hard -- Two Ways Your Experience ＂Tricks＂ You [8Z6HVIrgL5A]
TODD_V_WINNERGAME | Why Women Have Sex： 3 Sex Triggers That Make Her Want You (+Field Reports) [_VeTjEZA9jQ]
TODD_V_WINNERGAME | Winner Game -- The Tom Brady Mindset [N4Q-vf7lMw0]
natural_lifestyles_lifestyleacademy | Top BDSM Master Reveals His Secrets, (which put you in the top 1% of lovers) [9Grlh3P8q3w]
TODD_V_OPENING | The Opening Series -- Part 1： Direct Approach & Tonality [-6V-G1CE1xc]
TODD_V_CONVERSATION_TOPICS | Conversation Topics That Lead To Sex [og1DZLKpJSY]
TODD_V_CONVERSATION_TOPICS | Steal My Lines - How To Show Intent [l9OkHE4XZ2Q]
TODD_V_CONVERSATION_TOPICS | Why ＂Showing Intent＂ Is Ruining Your Game [UQGBDNdlU3I]
TODD_V_OPENING | The Opening Series -- Part 2： Observational Openers & Improvisational Humor [K8_TBjaiNUk]
TODD_V_OPENING | The Opening Series -- Part 3： Situational Teases & Framing [saKbzqbY1kg]
TODD_V_TEXTINGMISTAKES | 3 LOW-VALUE Texting Mistakes You're Probably Making [9dc_0jBJU7o]
TODD_V_TEXTINGMISTAKES | How To Get A Solid Number -- The First Step In Text Game [EogjdB3msWA]
TODD_V_TEXTINGMISTAKES | Text Game -- From Number To Date Step By Step [7OZebLs6v7o]
TODD_V_VERBAL_GAME | 3 Flirting Techniques that work every time! [jCAu8a9Xckk]
TODD_V_VERBAL_GAME | Conversation Topics That Lead To Sex [og1DZLKpJSY]
TODD_V_VERBAL_GAME | How To Never Run Out Of Things To Say - Verbal Game, Storytelling And Flirting [oxOih6GwSXI]
TODD_V_VERBAL_GAME | How to Be VERBALLY ENGAGING - Verbal Game 101 [H2CTy504FSA]
TODD_V_VERBAL_GAME | How to Know EXACTLY What to Say to Women： The First 60 Seconds [kL4ouoslEho]
TODD_V_VERBAL_GAME | Steal My Lines - How To Show Intent [l9OkHE4XZ2Q]
TODD_V_VERBAL_GAME | The 13 ABSOLUTE WORST Flirting Lines (And a Few Good Ones) [33qFUT4ur2I]
TODD_V_VERBAL_GAME | The Next Game Revolution： Optimized Game [b2DKa90hVTs]
TODD_V_VERBAL_GAME | Todd's Super-Simple Flirting Method (Try This ASAP) [o_k55geMKkU]
natural_lifestyles_femalepsychology | 4 Ways To Confidently Touch Her & Escape The Friendzone (+1st Date Demonstrations) [oA_1Llq8aHM]
natural_lifestyles_femalepsychology | 5 Steps To World Class Rizz (The Art Of Talking To Women) [YXVBkHFXNC8]
natural_lifestyles_femalepsychology | 6 Common First Date Mistakes Men & Women Make (Caught On Camera) [udHWLHQ51JA]
natural_lifestyles_femalepsychology | 7 Secrets To Date Younger Women In Your 30s & 40s (Without Being Creepy Or Rich) [sf1jlB3DLz8]
natural_lifestyles_femalepsychology | 8 Mistakes that Creep Her Out & Lead to Rejection (& How to Fix Them) [MKmFrG4xSYQ]
natural_lifestyles_femalepsychology | Effective Tactics to Meet More Women & Win the Modern Dating Game [oxxPos7Znjc]
natural_lifestyles_femalepsychology | First Dates that lead to Sex： Coffee or Cocktail？ [pqK47Fnhb6g]
natural_lifestyles_femalepsychology | Good Girls are Easier than Sl＊ts [pE9F1kjk-i0]
natural_lifestyles_femalepsychology | How Dating Got 3x Harder For Men (The Sexual Market Crash Explained) [J45pQTW6ee8]
natural_lifestyles_femalepsychology | How Female Friends Get You Laid (& Keep You Sane) [_8hNvWtZIl8]
natural_lifestyles_femalepsychology | How To Feel Worthy Around Hot Women (by Understanding What They REALLY Want) [IZX3a0tLuAg]
natural_lifestyles_femalepsychology | How To Handle Awkwardness Around Women (& Solve Cringey Moments) [Dbuccqbqlfg]
natural_lifestyles_femalepsychology | How To Overcome Fear & Talk To Women Easily (TNL Workshop Secrets) [2MCC-pde5Co]
natural_lifestyles_femalepsychology | How To Use Eye Contact To Make Her Horny (& Escape The Friend Zone) [B2WfrpUfRxQ]
natural_lifestyles_femalepsychology | Masculine Charisma for Introverts - How to handle Social Pressure around Women [XZrKbyAoFNM]
natural_lifestyles_femalepsychology | Relationship Red Flags, Nice Guy Pathology & Women’s Personality Disorders (Orion Taraban Interview) [xjH8pDVPbY0]
natural_lifestyles_femalepsychology | The #1 Conversation Mistake Men Make (& what to say instead) [k-Vv755lzl4]
natural_lifestyles_femalepsychology | The Real Reason You're Afraid to Meet Hot Women (and how to rewire anxiety into excitement) [f91IzkNqzhg]
natural_lifestyles_femalepsychology | This is why Most Men Waste their Peak Dating Years [-elFZ3WP3UY]
natural_lifestyles_femalepsychology | When she says “Not tonight, we just met” - How to Smoothly Navigate women’s first date “rules” [QZHrOyRg8EI]
natural_lifestyles_femalepsychology | Why Most Men Feel Invisible To Women (Understanding Status & Sexual Market Value) [rPAYWu7HzgM]
natural_lifestyles_femalepsychology | Why Players Find “The One” (& Nice Guys Settle For Anyone) [pChsRxVDFgs]
natural_lifestyles_femalepsychology | ＂We’re Not Gonna Have Sex Tonight” - Why Women Say This [fgIax4Mz48s]
natural_lifestyles_innergrowth | 5 Steps To World Class Rizz (The Art Of Talking To Women) [YXVBkHFXNC8]
natural_lifestyles_innergrowth | Hack Your Mind The Healthy Way! (Embodiment Practices To Handle Tough Times) [BYMa8hOVlh0]
natural_lifestyles_innergrowth | How To Use Eye Contact To Make Her Horny (& Escape The Friend Zone) [B2WfrpUfRxQ]
natural_lifestyles_innergrowth | Waking Up From Your Negative Thoughts - Hacking Your Infinite Potential [kNk0viT-8gA]
natural_lifestyles_innergrowth | Whose life are you living？ - Inner Game Guru Shae Matthews lost footage! [FO3c3QPhYu4]
coach_kyle_how_to_approach_a_girl | 6 Things To Never Say To Women [PLXOY9FzCx0]
