# Batch P016 - Previously missing videos
# Created: 2026-02-09
# Videos: 100
#
# Format: source_name | video_folder_name
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #3 - Gutter Game in Warsaw [2RZKlRFw2EE]
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #4 - More Gutter Game in Warsaw [grq-TNERVuA]
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #5 - Dappy Bird in Mall [4n7tesaFEdI]
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #6 - Brunette in Park [NhaqeRwLPJY]
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #7 - Jailbait two-set [L2MWaFVEX74]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #1 - From Intermediate To Advanced Game [uE9vQhwrg8k]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #10 - The Euro Traveler Lifestyle [Um9_XT860vk]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #11 - How To Take Anal Virginity [drSPZvi4ndo]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #13 - The r⧸K Wilderness [dnm9i-WQNvg]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #14 - A Year in Euro Jaunt Daygame [hQVNJtDY1TQ]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #15 - Regeneration [B1_ZuJi-JRk]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #16 - Breaking Gamma Habits [SlBTXDT_7_c]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #17 - An Audience With Goldmund 1⧸2 [ziusm3D5rN8]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #18 - Play Or Be Played？ [Y0jt_d1Qvz4]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #19 - An Audience With Goldmund 2⧸2 [K_PuT9Xk83s]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #2 - The Balance Between Nice Guy And Bad Boy [ngQCDZM2dzQ]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #20 - Questions and Answers Roundup [QpsXsCulJIM]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #3 - The Solo Daygame Mindset [cgVSMZznbQc]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #4 - Overcoming Princess Behaviour [sZFgubsKt5w]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #5 - How To Catch The Teenage Virgin [0vlcfAPxEUA]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #6 - Feel Entitled To Younger, Hotter, Tighter [n8if10uPTiY]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #7 - How To Do Real Bouncebacks (infield) [Q8ogLW676MA]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #8 - Vibe Protection [zV0uOZASgNo]
NICK_KRAUSER_WOMANIZER | Womanizers Bible #9 - Minor Tweaks, Maximum Effect [IJg-wwAMXJY]
TODD_V | todd valentine daygame infield [PLzU3cz5O2LJT_2OHrVUoOD-2ChfLPGRUu]
TODD_V_CONVERSATION_TOPICS | 6 Secrets to Healthy Relationships on Your Terms [oIlEXw6L5ds]
TODD_V_CONVERSATION_TOPICS | 7 Reasons Why Flash Game Is Killing You [xzuEmYkgDxE]
TODD_V_CONVERSATION_TOPICS | Disqualification -- The Advanced Game Cheat Code [WPz6wuIpK6g]
TODD_V_CONVERSATION_TOPICS | From Beginner To Advanced -- What To Do At Every Level [bTn7xMXq054]
TODD_V_CONVERSATION_TOPICS | How To Find The Right Game Style -- Power Vs Control [fM182pKzrPA]
TODD_V_CONVERSATION_TOPICS | How To Flirt： 3 Easy Techniques (+INFIELD VIDEO) [t8Q9rg8HjDE]
TODD_V_CONVERSATION_TOPICS | How To Practice Game At Home [183envaOYvs]
TODD_V_CONVERSATION_TOPICS | Immersion Debrief -- Integrity and Frame Control [7ImyDvT1VA0]
TODD_V_CONVERSATION_TOPICS | My EASY Step-by-Step System for Getting The Girl (+infield) [OpmAWcMtBFw]
TODD_V_CONVERSATION_TOPICS | The Nightgame Gameplan： How I Win EVERY Night [GBWtLFysmns]
TODD_V_CONVERSATION_TOPICS | The Outer Game of Inner Game [u_AhhQVhJco]
TODD_V_CONVERSATION_TOPICS | The P Word -- How to ＂Show Intent＂ the Right Way [A1Mwr1pDusQ]
