# QT4 sub-batch 1/4 — infield, 25 videos. Created 2026-06-24.
TODD_V_OPENING | The Opening Series -- Part 1： Direct Approach & Tonality [-6V-G1CE1xc]
natural_lifestyles_femalepsychology | The CORE Of All Successful Approaches - Infield Coaching With Virag Tierra [1M4dQg5peV8]
coach_kyle_deep_videos | How To Extend Your Interactions With Women (To Land More Dates) [8reXU39JMQo]
coach_kyle_how_to_approach_a_girl | The Best 10 Places to Meet Women (Not dating apps!) [A1LrD9ft9Sc]
coach_kyle_how_to_approach_a_girl | The Art of Having Longer Conversations with Women [AWV59Lxz68M]
TODD_V_CONVERSATION_TOPICS | My EASY Step-by-Step System for Getting The Girl (+infield) [OpmAWcMtBFw]
coach_kyle_how_to_approach_a_girl | 6 Things To Never Say To Women [PLXOY9FzCx0]
daily_evolution | Picking Up 3 Girls [ Daygame Infield ] [yrgCgJUhPrU]
TODD_V_TRUTH | Pickup Lines vs. ＂Just Be Yourself＂ [a3ol94k8PtQ]
TODD_V_THESYSTEM | Why Cold Approach Is A Cheat Code [fyZX59nYiC0]
TODD_V | 04.3a Todd V - How To Make Her Chase You Instantly (Infield Breakdown) [gyZTpsBy-oo]
TODD_V_TRUTH | Why Cold Approach Is A Cheat Code [kEAQ8dB4_R4]
TODD_V_CONVERSATION_TOPICS | How To Flirt： 3 Easy Techniques (+INFIELD VIDEO) [t8Q9rg8HjDE]
daily_evolution | NIGHTGAME INFIELD ｜ GET OUT OF YOUR HEAD [-AFtaDcMxZ8]
daily_evolution | How To Pull From Dates + Epic Nightgame Infield [0TsvZLU7kTA]
daily_evolution | Grocery Store Pickup Infield [0ydv4szHHIg]
daily_evolution | INFIELD + Picking Up HOT Black Grocery Store Employee [1sGggEyTJTE]
daily_evolution | Infield Pickup Nightgame ｜ PULL EVERY GIRL EVER [4QKb6daMks8]
daily_evolution | The Last Video You'll EVER Need To Pick Up Girls + Daygame Infield [5ngoDVsOJz0]
daily_evolution | PICKUP INFIELD Daygame Girl With Boyfriend At Target [6_SaAVJP9Ps]
daily_evolution | INFIELD PICKUP DAYGAME REJECTIONS AT THE STORE! [6w0bzYaHsq0]
daily_evolution | INFIELD + Daygame Instant Date With Hot Hipster [7begssQnizw]
daily_evolution | Hot College Girl Instant Date [Daygame Infield] [8HCMKSc7bJs]
daily_evolution | World's First Drone Infield! Daygame Instant Makeout! [9lkrnS53O_c]
daily_evolution | Rizzing Women w⧸ Physical Commitment (+Daygame Infield) [AStZqZ8UNoA]
