# Batch QUALITY-TEST.4 (QT4) — 100 fresh videos, infield-focused, split across channels
# Created: 2026-06-24. 0 overlap w/ QT1/QT2/QT3 or any prior stage-02 attempt.
# Selection: 87 daily_evolution (all literal 'INFIELD' titles) + 13 infield-leaning from other channels
# (Dedicated infield channels playing_with_fire/coach_kyle_infield/austen_meets/NL_meetingGirlsIRL fully consumed by QT1-3.)
# Videos: 100
#
TODD_V_OPENING | The Opening Series -- Part 1： Direct Approach & Tonality [-6V-G1CE1xc]
natural_lifestyles_femalepsychology | The CORE Of All Successful Approaches - Infield Coaching With Virag Tierra [1M4dQg5peV8]
coach_kyle_deep_videos | How To Extend Your Interactions With Women (To Land More Dates) [8reXU39JMQo]
coach_kyle_how_to_approach_a_girl | The Best 10 Places to Meet Women (Not dating apps!) [A1LrD9ft9Sc]
coach_kyle_how_to_approach_a_girl | The Art of Having Longer Conversations with Women [AWV59Lxz68M]
TODD_V_CONVERSATION_TOPICS | My EASY Step-by-Step System for Getting The Girl (+infield) [OpmAWcMtBFw]
coach_kyle_how_to_approach_a_girl | 6 Things To Never Say To Women [PLXOY9FzCx0]
daily_evolution | Picking Up 3 Girls [ Daygame Infield ] [yrgCgJUhPrU]
TODD_V_TRUTH | Pickup Lines vs. ＂Just Be Yourself＂ [a3ol94k8PtQ]
TODD_V_THESYSTEM | Why Cold Approach Is A Cheat Code [fyZX59nYiC0]
TODD_V | 04.3a Todd V - How To Make Her Chase You Instantly (Infield Breakdown) [gyZTpsBy-oo]
TODD_V_TRUTH | Why Cold Approach Is A Cheat Code [kEAQ8dB4_R4]
TODD_V_CONVERSATION_TOPICS | How To Flirt： 3 Easy Techniques (+INFIELD VIDEO) [t8Q9rg8HjDE]
daily_evolution | NIGHTGAME INFIELD ｜ GET OUT OF YOUR HEAD [-AFtaDcMxZ8]
daily_evolution | How To Pull From Dates + Epic Nightgame Infield [0TsvZLU7kTA]
daily_evolution | Grocery Store Pickup Infield [0ydv4szHHIg]
daily_evolution | INFIELD + Picking Up HOT Black Grocery Store Employee [1sGggEyTJTE]
daily_evolution | Infield Pickup Nightgame ｜ PULL EVERY GIRL EVER [4QKb6daMks8]
daily_evolution | The Last Video You'll EVER Need To Pick Up Girls + Daygame Infield [5ngoDVsOJz0]
daily_evolution | PICKUP INFIELD Daygame Girl With Boyfriend At Target [6_SaAVJP9Ps]
daily_evolution | INFIELD PICKUP DAYGAME REJECTIONS AT THE STORE! [6w0bzYaHsq0]
daily_evolution | INFIELD + Daygame Instant Date With Hot Hipster [7begssQnizw]
daily_evolution | Hot College Girl Instant Date [Daygame Infield] [8HCMKSc7bJs]
daily_evolution | World's First Drone Infield! Daygame Instant Makeout! [9lkrnS53O_c]
daily_evolution | Rizzing Women w⧸ Physical Commitment (+Daygame Infield) [AStZqZ8UNoA]
daily_evolution | How To Get Sexual With Girls INSTANTLY w⧸ INFIELD ｜ The Big Bang of Sexuality [BiExHv_pmXg]
daily_evolution | How To Get A Girlfriend Using Confidence Alone [ Daygame Infield ] [DvA2JsofCAM]
daily_evolution | SHOCKING Pickup Infield 🤯🚨 (+Approach Motivation) [EHi8DUYqZcQ]
daily_evolution | Pickup In Bars Vs. Nightclubs + NIGHTGAME INFIELD [ELPLkZmfGdQ]
daily_evolution | How To Get Laid On Vacation w⧸ Infield Makeout [EopUfKvkKnw]
daily_evolution | How To Suck At Daygame Forever [+FULL DAYGAME INFIELD] [EtgHf5Pzj7I]
daily_evolution | The ONE Thing In Game With The Highest ROI +daygame infield [FB1cW1uMNPk]
daily_evolution | Picking Up Cute Latina [ Raw Daygame Infield Pickup ] [H-qhOWc5NGo]
daily_evolution | Pickup Infield ｜ Adaptation ｜ Inner Game Training Series 3⧸5 [HY0FMCsquhQ]
daily_evolution | Daygame Student Infield Coaching Session Part 2 [Hf6c3iT6N_4]
daily_evolution | Picking Up Hot Hippie Girl  [Daygame Infield] [IswneeXy_yY]
daily_evolution | Just Approach Chicks!!! Cmon!!! (+Infield) [Iv4KxYECLr4]
daily_evolution | LIVE Daygame Infield ｜ NYC VLOGGIN' [JScNZ9y_E9c]
daily_evolution | Social Circle Basics Part 3 ｜ Night Game Infield Recruitment [J_Vl8gpctKw]
daily_evolution | Lit Infield Compilation [J_pTQnu2RwE]
daily_evolution | Infield Breakdown ｜ Crazy 3-Way Makeout! [KGenHy9ieCw]
daily_evolution | Nightgame Infield Hot Blondie [KJvDHeETu-Q]
daily_evolution | Infield Breakdown - Daygame Pickup Tips + Techniques [KKPnYzMiT7k]
daily_evolution | SHOCKING INFIELD! NOT BANGING GIRL WITH BOYFRIEND! [Ko0HhMu1ORo]
daily_evolution | Daygame Two Girls Infield Breakdown [L98IhEsW_Rg]
daily_evolution | Picking Up 10⧸10 Australian Girl [ Daygame Infield ] [LP4yPM7n5FE]
daily_evolution | MUST WATCH： Deep Daygame Training + INFIELD CLIPS [MWsVwoKOzP8]
daily_evolution | How To State Intent [ Daygame Infield ] [NFpXcUMFnfc]
daily_evolution | Women HATE When You Do This [+INFIELD] [O4sG4IYWn60]
daily_evolution | How To Approach Seated Girls (+Infield) [OzyhqjdSLPE]
daily_evolution | Romantic Daygame Infield 🥰 (TAKE NOTES) [PmAVb0nR4nM]
daily_evolution | STOP CRUMBLING AROUND HOT WOMEN [+INFIELD] [QKxLCAny5bo]
daily_evolution | Picking Up 10⧸10 Black Model At Grocery Store (Daygame Infield) [QQAPxu7t8pc]
daily_evolution | LIVE DAYGAME INFIELD - INSTANT DATE [ST13bWzdKKY]
