# Batch QT6 — 100 videos, infield-leaning (pool depleted; expect talking_head-heavy). Created 2026-07-06.
# 0 overlap w/ QT1-QT5 or any stage-02 attempt. Chunked 20/run.
# Videos: 100
#
daily_evolution | INFIELD + Daygame Picking Up Hot Fitness Trainer [zQpCM5vOgY4]
daily_evolution | NIGHTGAME PULLING MADE EASY [66_y5DSUNjs]
daily_evolution | Man To Woman Frame Made Easy Daygame [SnLV7nwZhWI]
daily_evolution | Grocery Store Rizz [T5mM1dg1ZMg]
daily_evolution | Rizzing A Hot Blonde At The Grocery Store [fp2KhjaR7aQ]
daily_evolution | More Dates With Women With This Simple Shift [1hOOrAdIiDM]
daily_evolution | Don’t Date Dramatic Women [A-HliGCDztc]
daily_evolution | How To Easily Get A Girlfriend In 2025 [C3EmMYfEmA0]
daily_evolution | How To Make Out With Girls - Full Course [C4JruEKUiJk]
daily_evolution | Hot Girls Teach You How To Pick Them Up!! [DG-KHp2r3HI]
daily_evolution | Get More Girls By Retelling Your Story [DG6XgxgM7QM]
daily_evolution | Cute Blonde Joins The Meetup [Eq20dFY8aEI]
daily_evolution | Not Approaching Cause People Are Watching？ [EyWMd2XjMRg]
daily_evolution | How To Approach Girls Without Hesitation [FTpm5TlJ-Tg]
daily_evolution | Girls Flake You Because You're Not Doing THIS [Fpwvmy3vuhY]
daily_evolution | Ignore The TRUTH To Sleep With More Girls [G0f7_1zK03A]
daily_evolution | Tip For More Dates [G0fYYQf4K-E]
daily_evolution | Adapt To Varying Energies And Treat Each Interaction Exclusively： Calibration [GOMUUyTCu-g]
daily_evolution | No Girls And Depressed？ [GVlFHVv-Mrk]
daily_evolution | Dating Coach Explains How He Met This Girl! [GgUfcJCE5lk]
daily_evolution | Pay For The First Date!？ [IMgHCSa73eQ]
daily_evolution | How To Approach Women During The Day Vs. How To Approach Women At Night [J2hDGpxEEY0]
daily_evolution | How To Earn Respect From Hot Women [KKk5UuV-gng]
daily_evolution | What Should I Say When A Girl Says... [KLXqrvX-OIA]
daily_evolution | How To Pickup Girls If You're Broke And Ugly [KqvUdlGYg8U]
daily_evolution | wOuLd yOu dAtE mE!？ [MP_rKd2zF1Y]
daily_evolution | What To Do If You Have No Girls [NkaO89QldKA]
daily_evolution | Should You Pickup Uglier Girls To Warm Up Or Boost Confidence？ [OxHdCRxO7Fc]
daily_evolution | How To Make Girls Laugh [PA2YJsBYds0]
daily_evolution | Want More Girls + Friends？ Say This Daily [Qd2bDKZ0r4Q]
