# QT8 sub-batch 3 — 20 videos. Created 2026-07-08.
TODD_V_CONVERSATION_TOPICS | Immersion Debrief -- Integrity and Frame Control [7ImyDvT1VA0]
daily_evolution | 5 TIPS For Sex On The First Date! [7MsGkW9WltM]
daily_evolution | How To Eat Raw Beef Liver [7NAa4Iy9_9Q]
TODD_V_TEXTINGMISTAKES | Text Game -- From Number To Date Step By Step [7OZebLs6v7o]
daily_evolution | Making Ginger Shots - The Path To GOD [7PIbA5kgUFg]
daily_evolution | Weekend Motivation🔥🔥🔥 [7REfYYuIEwk]
daily_evolution | How To Be A High Status Male [7a-r2JK6Zk8]
daily_evolution | A CALL TO ACTION [7fEpey8SIx0]
daily_evolution | You're DOOMED To Be An Incel #85 Evolution Daily Podcast [7fu1ledBFsY]
daily_evolution | How To Short-Circuit The Fear Of Rejection [7hN2_YfTGgc]
daily_evolution | Old Man Game ft. My Wing's Dad Vic #58 The Aaron Alexander Experience [7pUGpUC5wzs]
daily_evolution | Tips For Quitting Alcohol & Crazy Stories From My Alcoholic Past [7sZwoPSLoYg]
TODD_V_CONVERSATION_TOPICS | The Silent Power of Narrative to Get Her Chasing [81e3bkP7Ezk]
daily_evolution | Live A Full Life - Take Risks [82Td-Jl6PM4]
daily_evolution | MOMMY AND DADDY ARE DEAD! [82r31YJYDck]
austen_summers_client_results | First Daygame Pull - Immersion Results [87IQDbipw2o]
daily_evolution | Direct or Indirect？ [8WiyHIMlocs]
daily_evolution | Dance Floor Game Simple 4 Step Formula [8X2xX8O-bjI]
TODD_V_CONVERSATION_TOPICS | Why Learning Game Is Hard -- Two Ways Your Experience ＂Tricks＂ You [8Z6HVIrgL5A]
daily_evolution | Moe Ghias ＂Champions Have Short Memories＂ #90 Evolution Daily Podcast [8_TPxBI2UJQ]
