# QT9 sub-batch 11 — 20 videos. Created 2026-08-05.
NICK_KRAUSER_JOYOFDAYGAME | Joy of Daygame #4 - More Gutter Game in Warsaw [grq-TNERVuA]
TODD_V | 04.3a Todd V - How To Make Her Chase You Instantly (Infield Breakdown) [gyZTpsBy-oo]
coach_kyle_infield | What To Do When A Girl Looks At You 👀#shorts [h1-ySXfRbLY]
social_stoic | Picking Up Hot Blonde in Central London (Infield) [h6_1fB_LR5A]
daily_evolution | GET LAID OR DIE + Daygame Infield [hXDn8paN-W0]
playing_with_fire_infield | How To Pickup A Girl On The Street (Full Infield Breakdown) [hr7oNU8N_PA]
coach_kyle_deep_videos | How To Become ＂The Guy＂ In Any Venue That You Frequent [i5ED74iA_1Q]
daily_evolution | Night Game Infield Pickup ｜ Opening Two Sets FULL BREAKDOWN [iIdwb84qwSI]
daily_evolution | Daygame Pickup Infield - Picking Up A Girl At The Grocery Store [iJFskBBT4sU]
coach_kyle_deep_videos | How to bring women home (FULL GUIDE) [idFaRpqI27I]
daily_evolution | 10 Years Of Game Wisdom [j8gzCU6jOyQ]
daily_evolution | Brutal Daygame Session [jDjE0OMZAKQ]
daily_evolution | Daygame Opener Hack [+Infield] [jHnGYmQ8NcA]
austen_summers_meets_girls | How to Date a Blonde Finnish Girl + Date Tips [jPHmLAZON_s]
daily_evolution | Daygame Instant Date - MUST WATCH [jViWP1TXgfk]
daily_evolution | Daygame Infield Picking Up Hot Hipster AGAIN! [j_4e2G4upwc]
natural_lifestyles_meetingGirlsIRL | Seducing A Fitness Model (Getting Through Rejections To Find Your Dream Girl) [jdDdgzdFPfs]
daily_evolution | Daygame Infield ｜ Fun + Rejection + Makeout + CRUCIAL ADVICE!!! [jgXEYtm0VaM]
playing_with_fire_infield | FreshPrinceCeo FINALLY Picks Up A Girl (Crazy Infield) [jljQm8Hr5mY]
daily_evolution | Daygame Infield ｜ Boyfriend Objection [jsSOPFSYTcA]
