# QT9 sub-batch 12 — 20 videos. Created 2026-08-05.
coach_kyle_how_to_approach_a_girl | What to say to a Woman in the 1st Minute ？ (LIVE DEMO) [kVoqRlar_FU]
daily_evolution | Cultivate Alpha Masculine Sexual Energy!!! + Infield Pickup [kaFllKd_hCM]
daily_evolution | Daygame Pickup Infield Preview [kit2c6At6Jk]
natural_lifestyles_meetingGirlsIRL | She Just Left Her Husband – Here’s How I Got Her Number (LIVE Infield Analysis) [kyBKT_uIREA]
social_stoic | How To Make Any Boring Conversation Flirty (Infield Examples) [lSXqK_zSgNU]
daily_evolution | Pickup Infield ｜ Daygame Girl With Boyfriend Likes My Swagger [mD5WhtfIYQ8]
coach_kyle_how_to_approach_a_girl | Approach ANY GIRL in Public LIKE a PRO! (INFIELD) [mv2X8Yhg9M0]
austen_summers_meets_girls | 7 Minute Pull [nFjdyAHcTgA]
TODD_V_THESYSTEM | What is the System？ [nMHYVtW1V_8]
coach_kyle_infield | Simple cold approach： USE THESE EASY LINES to 10x dates [neZv2hbkABQ]
daily_evolution | Picking Up HOT Bikini Babe With Her Friend [ngg5oQRr6N4]
daily_evolution | Daygame Grocery Store INFIELD ｜ Picking Up A Hot Veterinarian! [nxiWVD287tI]
coach_kyle_how_to_approach_a_girl | STOP Getting Short Answers! Try this instead [odlFMZxb-bU]
daily_evolution | Daygame Approach Motivation - Drowning Out Your Biggest Fear [oh6jBCuWuhM]
daily_evolution | Daygame Pickup Infield ｜ Hot Asian FOB [ovm5NQ4ju30]
daily_evolution | Instant Makeout With Random Hottie On The Street [p3A5Ve9AauU]
daily_evolution | hot girls hate this approach 😖 (+daygame infield) [pPSIJ90s75w]
daily_evolution | 52 Weeks of Infield Begins [pdrTpc9cnZ8]
social_stoic | Are You Making THIS Mistake When Approaching Women？ (Infield Examples) [pfmZ69WGysA]
daily_evolution | A Pickup Sermon by Aaron Alexander [px-GTRLVJbE]
