# QT9 sub-batch 5 — 20 videos. Created 2026-08-05.
daily_evolution | Daygame Instant Date Infield Breakdown [IY6_JzbJyzY]
daily_evolution | Daygame Pickup Infield Breakdown Approaching A Group of Girls [Idywebk6B10]
coach_kyle_how_to_approach_a_girl | Younger Women HATE When “Older Guys” Do This (6 UNATTRACTIVE Mistakes) [Ih8JD8HcLT8]
daily_evolution | Picking Up Hot Hippie Girl  [Daygame Infield] [IswneeXy_yY]
natural_lifestyles_meetingGirlsIRL | 5 Easy, No B.S. Ways To Approach Women In The Street (+ Infield Demonstration) [J8YMzCabd2s]
coach_kyle_how_to_approach_a_girl | How to Fix Rejection in 5 minutes (INFIELD) [JKWRj2hwbT4]
daily_evolution | 10 Years In The Field： My Legacy [JOcglovL3IA]
daily_evolution | Daygame Musings With Bootcamp Students [JUuE8IRRFBQ]
social_stoic | Crazy Pickup Lines That Actually WORKED (Infield Breakdown) [JYzJLfBi4R0]
daily_evolution | Lit Infield Compilation [J_pTQnu2RwE]
daily_evolution | Daygame Infield Pickup Grocery Game [JxZ18HMwHTE]
coach_kyle_deep_videos | COACH KYLE AUDIOBOOK： From shy kid to confident dating coach [K6nTdADEeWs]
daily_evolution | Picking Up Bikini Babes [KF5sunEIeAk]
daily_evolution | Daygame Infield Pickup 1 Hour Compilation 2019! [KG8X6cQ5wGw]
daily_evolution | Daygame Pickup Infield - ALWAYS BE CLOSING [KddKqbIhUwE]
natural_lifestyles_meetingGirlsIRL | Picking Up 3 Girls In 10 minutes (the busy man’s dating method) [KtmnHDVbmss]
daily_evolution | Daygame Infield - Savagely Switching Sets [KuiM4A2P5fA]
daily_evolution | Pickup Abundance Struggle BRAIN DUMP #99 Evolution Daily Podcast [L2EDvmNizJs]
daily_evolution | Bootcamp Student Gets Laid! Daygame Pickup! [L9ieEzXqB7E]
natural_lifestyles_meetingGirlsIRL | Psychedelic Farmer chats up Barcelona Ladies (How to get Dates this Summer w⧸ James Marshall) [LCkyC_QKIJE]
