# QT9 — every downloaded video not at stage 09 and not QT8-settled. Created 2026-08-05.
daily_evolution | NIGHTGAME INFIELD ｜ GET OUT OF YOUR HEAD [-AFtaDcMxZ8]
playing_with_fire_infield | Cold Approach Infield Examples + Live Q&A [-K-1iSpitDk]
daily_evolution | Evolution Daily Reloaded [-K5Nq2mU-w4]
daily_evolution | #1 KEY To Sexualizing Your Conversations [-_3ypQLrDzo]
austen_summers_meets_girls | How I Got Laid With A Shy College Girl [-gg0Ykxalkk]
daily_evolution | Brutal Rejection Compilation [ Daygame Infield ] [-ivcUSxXCHM]
daily_evolution | Daygame Infield From Earth's #1 Dating Coach [-ymOG7QMrBA]
playing_with_fire_infield | Can a Chad Get a Date with No Game？ (Pickup Experiment) [01TqyTfN4kE]
natural_lifestyles_meetingGirlsIRL | ＂You're so adorable＂ How I Seduced a Shy Artsy Girl (James Marshall 2025 Infield) [03m9yo-ikPc]
daily_evolution | Daygame Infield Pick Up! Kombucha And Chill？ [0DpfwrQ-Nh0]
daily_evolution | Daygame Infield ｜ SERIOUS Hottie + How To Seize ALL Opportunities [0GHKYmdszEs]
daily_evolution | How To Be More Attractive To Women [0QITsrIF6Bc]
daily_evolution | Grocery Store Pickup Infield [0ydv4szHHIg]
daily_evolution | Daygame Infield Breakdown ｜ Hot Blonde Grocery Store Pickup! [1FHmVCWuPhU]
daily_evolution | Daygame Rejections ：( [1XUov0IQe0k]
daily_evolution | Daygame Grocery Store Infield Pick Up! Epic PICKUP! [2i4UOYnRXas]
daily_evolution | Afraid Of Talking To Women？ DO THIS! [+DAYGAME INFIELD] [2xBxkznXcoc]
daily_evolution | Picking Up LONDON Redhead Angel [3-d1K8U02JE]
playing_with_fire_infield | How to Approach Women on The Street (LIVE Infield Breakdown) [3ruR2znrHMM]
austen_summers_meets_girls | 7 Minute Pull - Analysis [3u0I751NGN0]
daily_evolution | Infield Pickup Nightgame ｜ PULL EVERY GIRL EVER [4QKb6daMks8]
coach_kyle_how_to_approach_a_girl | EXPOSING Andrew Tate's Pick Up Advice [4eAMH1cqnUE]
coach_kyle_how_to_approach_a_girl | How to approach a woman when she’s with her friends [4x9bvKaVWBc]
daily_evolution | From Never Approaching To 3 Instant Dates... [5aSFYX5lFiQ]
coach_kyle_infield | Drake Goes Man-To-Woman On Jessie Reyez!! (Interaction + Breakdown) [5gfclo7crNI]
coach_kyle_how_to_approach_a_girl | 5 Women, 5 Different Reactions — How to Win All of Them (LIVE DEMO) [5sTASDqe0u8]
daily_evolution | Picking Up Girl At Victorias Secret [6-errnEvBPc]
playing_with_fire_infield | Dating Coach Vs IG’s Biggest PUA [6F98Cxe4Tlc]
coach_kyle_how_to_approach_a_girl | How to Approach A Girl At The Bar 😈 (Without Getting Rejected) #shorts [6TencNrSXcs]
daily_evolution | Picking Up Cute Shy Girl At The Grocery Store [6o4eYfvKjOY]
daily_evolution | INFIELD PICKUP DAYGAME REJECTIONS AT THE STORE! [6w0bzYaHsq0]
daily_evolution | Trying To Pick Up Hot Pregnant Wife [7L7xONDTiJw]
daily_evolution | INFIELD + Daygame Instant Date With Hot Hipster [7begssQnizw]
coach_kyle_how_to_approach_a_girl | Cold Approaching Girls： How To Deal With Resistance [7o6FNxnsAnE]
daily_evolution | Daygame Infield Pickup ｜ Grocery Game Pickup + Advice [7yzBa5EuIC4]
daily_evolution | Daygame Pickup Infield ｜ Hot Babe With Hot Pants! [84wLZmsWs_I]
austen_summers_client_results | 5 Dates by 2nd Week - Graham Academy Testimonial [863IDsEeHKU]
daily_evolution | Hot College Girl Instant Date [Daygame Infield] [8HCMKSc7bJs]
daily_evolution | DAYGAME Infield Pickup ｜ Situational Openers ｜ FULL DAYGAME INFIELD BREAKDOWN [8b19iuqAN6E]
daily_evolution | Using Cold Reads To Pick Up Women [+Daygame Infield] [8e45oh3nQyM]
playing_with_fire_infield | How to Approach a Shy Girl and Get a Date - INFIELD (+ Text Interaction) [8kJK_bB5LEo]
daily_evolution | Picking Up 🔥🔥🔥 California Girl [8rSfTVlp_3k]
daily_evolution | Approach Anxiety Tactical Solution [94VaAI7QKqA]
austen_summers_meets_girls | I Took Her to the Secret Beach 🤫 - Florida Date with American Girl [9I7JBV15FNM]
coach_kyle_deep_videos | Why Your Cold Approach Isn't Working and How to Fix It Now [9tOY-lqivmE]
social_stoic | I Got Flirty Fast with a Hot Blonde (Uncut Infield) [9tcvr26JP10]
natural_lifestyles_meetingGirlsIRL | Getting Arrested For Picking Up Girls!？ [9wiDrfj5HEc]
social_stoic | How To Approach ANY Girl in Public (Without Being Scared) [A-gUGrsvkKY]
coach_kyle_how_to_approach_a_girl | The Best 10 Places to Meet Women (Not dating apps!) [A1LrD9ft9Sc]
daily_evolution | Rizzing Women w⧸ Physical Commitment (+Daygame Infield) [AStZqZ8UNoA]
daily_evolution | Men： YOU Must Lead Women And Move Everything Forward [AyJt44eUVaA]
natural_lifestyles_meetingGirlsIRL | Challenging a 23yo Model - Street Pickup Competition (Who Gets More Dates in 1hr？) [B1UR8q_Dlpo]
daily_evolution | Two French Girls [Cold Approach Demo] [BQvRaHF4DT8]
daily_evolution | Picking Up Hot Chinese Girl [BsXIGkPrvqs]
austen_summers_client_results | 10x My Laycount with Austen Summers Academy [CAyMs19EYrw]
daily_evolution | Daygame Field Report [CR0eHQF4Asc]
natural_lifestyles_meetingGirlsIRL | ”You’re Too Old For Me…” - How To Overcome Age Objections In Your 30s & 40s (+ Live demo) [CTfDIHi91uk]
daily_evolution | Attract Women By Doing LESS [+INFIELD] [CaHOU3_G2_s]
daily_evolution | DAYGAME PICKING UP GIRLS 1 HOUR COMPILATION [CfsZbTegOCM]
playing_with_fire_infield | Social Experiment： Does Race Matter In Approaching Girls [D-7S6jnXDCg]
coach_kyle_how_to_approach_a_girl | Top 2 Mistakes Guys Make When Asking for a Number (+5 ways to fix it) [DcN6rsanf0w]
daily_evolution | SHOCKING Pickup Infield 🤯🚨 (+Approach Motivation) [EHi8DUYqZcQ]
daily_evolution | 2025 IS YOUR YEAR!!!! [EdcPkeELE_s]
daily_evolution | How To Get Laid On Vacation w⧸ Infield Makeout [EopUfKvkKnw]
daily_evolution | Cute Blonde Joins The Meetup [Eq20dFY8aEI]
social_stoic | Exactly How to Pick Up 9s and 10s (Infield Examples) [F2PnXKlMKA0]
daily_evolution | Daygame Infield ｜ Cutie At Pull Foods Pickup [Fr1N5htZrm0]
